case_id,class,repeat,artifact_hash,expected_status,observed_semantic_status,observed_ir_value,translation_valid,policy_status,lean_status,certificate_status,correct,failure_reason
v3h-positive-adjoint-first,positive,0,63dbb701e042ce2dd810ae1e41eb89d7c202eef0ebb145501476f872a4cc3fbe,supported-and-compatible,supported-and-compatible,"{""locality"": {""available"": true, ""expected"": ""non_local"", ""observed_local"": false, ""off_diagonal_nonzero"": [{""source"": 0, ""target"": 1}, {""source"": 0, ""target"": 2}, {""source"": 0, ""target"": 3}, {""source"": 1, ""target"": 0}, {""source"": 1, ""target"": 2}, {""source"": 1, ""target"": 3}, {""source"": 2, ""target"": 0}, {""source"": 2, ""target"": 1}, {""source"": 2, ""target"": 3}, {""source"": 3, ""target"": 0}, {""source"": 3, ""target"": 1}, {""source"": 3, ""target"": 2}], ""rule"": {""name"": ""operator_offdiag_abs_threshold"", ""threshold"": 1e-09, ""version"": 1}}, ""operator"": ""symmetrized"", ""xc"": ""hinge""}",True,structurally_certifiable,verified,verified,True,
v3h-nearmiss-free-parameter-not-self-adjoint,near_miss,0,1195fe7486069c8ea5a1d07b35f46231868e5ba4061a09868b8783abcd9f682b,supported-but-incompatible,supported-but-incompatible,"{""locality"": {""available"": true, ""expected"": ""non_local"", ""observed_local"": false, ""off_diagonal_nonzero"": [{""source"": 0, ""target"": 1}, {""source"": 0, ""target"": 2}, {""source"": 0, ""target"": 3}, {""source"": 1, ""target"": 0}, {""source"": 1, ""target"": 2}, {""source"": 1, ""target"": 3}, {""source"": 2, ""target"": 0}, {""source"": 2, ""target"": 1}, {""source"": 2, ""target"": 3}, {""source"": 3, ""target"": 0}, {""source"": 3, ""target"": 1}, {""source"": 3, ""target"": 2}], ""rule"": {""name"": ""operator_offdiag_abs_threshold"", ""threshold"": 1e-09, ""version"": 1}}, ""operator"": ""unconstrained_parameter"", ""xc"": ""hinge""}",True,structural_requirements_not_met,not_run,ineligible,True,
v3h-malformed-missing-locality-field,malformed,0,9a4a17dd31c22dc1f293813eafc924571f065a2217c7c8de1c1728e3af43d76a,malformed,malformed,,False,not_run,not_run,ineligible,True,ManifestError: input_constraints.expected_locality must be 'local' or 'non_local'
v3h-unsupported-diagonal-operator,unsupported,0,d29e5b3d7c124c01f4d1ea75db00db3a3f5b4ed1c32255daa625561292a7034e,unsupported,unsupported,"{""locality"": {""available"": false, ""expected"": ""local"", ""observed_local"": null, ""off_diagonal_nonzero"": null, ""rule"": {""name"": ""operator_offdiag_abs_threshold"", ""threshold"": 1e-09, ""version"": 1}}, ""operator"": ""unsupported"", ""xc"": ""hinge""}",True,formalization_required,not_run,ineligible,True,
v3h-unsupported-transformed-scaled-operator,unsupported,0,7e4a71c575f2d667232a71a544cb6d90675894d1252cef89ed9d69eb4fa18040,unsupported,unsupported,"{""locality"": {""available"": false, ""expected"": ""non_local"", ""observed_local"": null, ""off_diagonal_nonzero"": null, ""rule"": {""name"": ""operator_offdiag_abs_threshold"", ""threshold"": 1e-09, ""version"": 1}}, ""operator"": ""unsupported"", ""xc"": ""hinge""}",True,formalization_required,not_run,ineligible,True,
v3h-malformed-duplicate-xc-role,malformed,0,aca8c28a3d394a7cf0789d5b64e9c77857c959c8a52661953cd062b3ca3657c3,malformed,malformed,,False,not_run,not_run,ineligible,True,ManifestError: duplicate output contract role 'xc_energy'
